eval - WARNING - step 0: train loss 9.478227, val loss 9.470964, lr 0.000000, mfu -100.00%
eval - WARNING - step 100: train loss 4.224504, val loss 4.229735, lr 0.000030, mfu 86.25%
eval - WARNING - step 200: train loss 2.978513, val loss 2.962291, lr 0.000060, mfu 80.78%
eval - WARNING - step 300: train loss 2.170051, val loss 2.165036, lr 0.000090, mfu 80.77%
eval - WARNING - step 400: train loss 1.859712, val loss 1.845771, lr 0.000120, mfu 80.96%
eval - WARNING - step 500: train loss 1.670928, val loss 1.662704, lr 0.000150, mfu 81.09%
eval - WARNING - step 600: train loss 1.537566, val loss 1.531543, lr 0.000180, mfu 81.20%
eval - WARNING - step 700: train loss 1.474168, val loss 1.474472, lr 0.000210, mfu 81.24%
eval - WARNING - step 800: train loss 1.426829, val loss 1.427289, lr 0.000240, mfu 81.35%
eval - WARNING - step 900: train loss 1.362428, val loss 1.379169, lr 0.000270, mfu 81.36%
eval - WARNING - step 1000: train loss 1.355593, val loss 1.351357, lr 0.000300, mfu 81.38%
eval - WARNING - step 1100: train loss 1.308887, val loss 1.313870, lr 0.000300, mfu 81.41%
eval - WARNING - step 1200: train loss 1.278547, val loss 1.280377, lr 0.000300, mfu 81.42%
eval - WARNING - step 1300: train loss 1.262739, val loss 1.259236, lr 0.000300, mfu 81.52%
eval - WARNING - step 1400: train loss 1.232136, val loss 1.241515, lr 0.000300, mfu 81.50%
eval - WARNING - step 1500: train loss 1.218061, val loss 1.225837, lr 0.000300, mfu 81.51%
eval - WARNING - step 1600: train loss 1.201386, val loss 1.207329, lr 0.000300, mfu 81.54%
eval - WARNING - step 1700: train loss 1.196121, val loss 1.193512, lr 0.000300, mfu 81.60%
eval - WARNING - step 1800: train loss 1.196146, val loss 1.177919, lr 0.000300, mfu 81.65%
eval - WARNING - step 1900: train loss 1.188268, val loss 1.160514, lr 0.000300, mfu 81.63%
eval - WARNING - step 2000: train loss 1.166149, val loss 1.166761, lr 0.000300, mfu 81.64%
eval - WARNING - step 2100: train loss 1.161946, val loss 1.163715, lr 0.000300, mfu 81.50%
eval - WARNING - step 2200: train loss 1.145925, val loss 1.133964, lr 0.000300, mfu 81.67%
eval - WARNING - step 2300: train loss 1.134655, val loss 1.136946, lr 0.000300, mfu 81.70%
eval - WARNING - step 2400: train loss 1.131308, val loss 1.138961, lr 0.000300, mfu 81.65%
eval - WARNING - step 2500: train loss 1.127639, val loss 1.137049, lr 0.000300, mfu 81.67%
eval - WARNING - step 2600: train loss 1.127200, val loss 1.134583, lr 0.000300, mfu 81.75%
eval - WARNING - step 2700: train loss 1.127270, val loss 1.118021, lr 0.000300, mfu 81.70%
eval - WARNING - step 2800: train loss 1.121291, val loss 1.121069, lr 0.000300, mfu 81.69%
eval - WARNING - step 2900: train loss 1.103804, val loss 1.107661, lr 0.000300, mfu 81.54%
eval - WARNING - step 3000: train loss 1.112239, val loss 1.093011, lr 0.000300, mfu 81.34%
eval - WARNING - step 3100: train loss 1.101043, val loss 1.105981, lr 0.000300, mfu 81.47%
eval - WARNING - step 3200: train loss 1.098764, val loss 1.094116, lr 0.000300, mfu 81.51%
eval - WARNING - step 3300: train loss 1.108723, val loss 1.093889, lr 0.000300, mfu 81.57%
eval - WARNING - step 3400: train loss 1.086422, val loss 1.089239, lr 0.000300, mfu 81.66%
